"Number of Employed Persons by Major Industry Group (2009 PSIC Code): January 2012 to July 2026"
"Year","Month","TOTAL","AGRICULTURE","Agriculture and forestry","Fishing and aquaculture","INDUSTRY","Mining and quarrying","Manufacturing","Electricity, gas, steam, and air conditioning supply","Water supply; sewerage, waste management  and remediation activities","Construction","SERVICES","Wholesale and retail trade; repair of motor vehicles and motorcycles","Transportation and storage","Accommodation and food service activities","Information and communication","Financial and insurance activities","Real estate activities","Professional, scientific and technical activities","Administrative and support service activities","Public administration and defense; compulsory social security","Education","Human health and social work activities","Arts, entertainment and recreation","Other service activities","Activities of Households as Employers","Activities of extraterritorial organizations and bodies"
"2025","Annual",49013.170,10048.384,8748.910,1299.474,8701.777,207.923,3487.378,97.103,70.759,4838.614,30263.010,10067.513,3767.367,2788.440,497.256,715.013,287.408,391.248,2795.935,3001.557,1686.419,775.952,459.185,3029.272,0.000,0.445
"2026","January",47937.598,8683.446,7515.395,1168.051,8758.301,257.415,3693.704,107.005,102.398,4597.780,30495.851,9240.188,4016.891,2799.254,534.449,728.086,274.211,486.672,3094.864,3160.599,1672.429,824.982,482.513,3179.847,0.000,0.866
"2026","February",49425.915,9295.828,7895.013,1400.816,8723.553,247.141,3763.319,107.886,54.879,4550.328,31406.533,9898.366,4168.450,3160.019,469.301,896.757,272.737,389.467,3025.805,2824.107,1750.725,978.474,427.368,3143.880,0.000,1.078
"2026","March",49068.998,9362.285,8381.508,980.777,8789.925,324.600,3546.791,100.622,84.019,4733.893,30916.789,9911.752,4053.125,3150.802,565.064,780.955,307.059,480.759,3018.433,2717.803,1892.867,824.152,367.562,2845.041,0.000,1.415
"2026","April",48889.464,9472.530,8218.606,1253.923,8947.978,346.448,3587.066,110.767,94.965,4808.732,30468.956,9656.139,3956.725,3103.867,490.930,744.938,282.811,378.964,2958.637,3015.775,1737.954,758.592,466.433,2917.072,0.000,0.119
"2026","May",49627.233,9868.302,8526.270,1342.032,9104.190,351.342,3642.769,81.652,72.353,4956.074,30654.741,9723.780,3816.264,3369.375,545.800,618.420,313.494,390.595,3111.009,2840.994,1732.295,889.674,524.865,2778.175,0.000,0.000
"2026","June",50658.256,10113.611,8979.061,1134.549,8775.991,245.695,3457.452,58.443,75.344,4939.056,31768.655,9936.319,3761.899,3265.426,522.301,684.659,311.018,456.782,3253.952,3233.894,1882.018,785.255,459.661,3215.471,0.000,0.000
"2026","July",49214.496,9679.547,8417.649,1261.898,8631.113,289.306,3424.897,116.928,75.924,4724.058,30903.836,9226.342,4031.631,3302.648,471.723,709.002,286.641,442.905,3101.549,3120.672,1781.242,891.426,442.273,3095.248,0.000,0.533
"2026","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","October",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","Annual",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
